tick_ms,valid_fix,fix_type,satellites,latitude_deg,longitude_deg,altitude_m,speed_mps,course_deg,hdop
822,0,0,0,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000
864,0,0,0,0.00000000,0.00000000,0.0000,0.0000,0.0000,99.9900
1424,0,0,0,0.00000000,0.00000000,0.0000,0.0000,0.0000,99.9900
1490,0,0,0,0.00000000,0.00000000,0.0000,0.0000,0.0000,99.9900
2013,0,0,0,0.00000000,0.00000000,0.0000,0.0000,0.0000,99.9900
2072,0,0,3,0.00000000,0.00000000,0.0000,0.0000,0.0000,3.2700
2634,0,0,3,0.00000000,0.00000000,0.0000,0.0000,0.0000,3.2700
2704,0,0,4,0.00000000,0.00000000,0.0000,0.0000,0.0000,8.5800
3227,0,0,4,0.00000000,0.00000000,0.0000,0.0000,0.0000,8.5800
3305,0,0,6,0.00000000,0.00000000,0.0000,0.0000,0.0000,2.2500
4070,1,0,6,39.97381973,-105.14966583,0.0000,0.2330,0.0000,2.2500
4187,1,1,8,39.97381973,-105.14966583,1673.7000,0.2330,0.0000,1.4600
5063,1,1,8,39.97378540,-105.14974976,1673.7000,0.1620,0.0000,1.4600
5238,1,1,9,39.97378540,-105.14974976,1675.4000,0.1620,0.0000,1.3100
6060,1,1,9,39.97378159,-105.14979553,1675.4000,0.0067,0.0000,1.3100
6258,1,1,9,39.97378159,-105.14979553,1677.3000,0.0067,0.0000,1.3100
7079,1,1,9,39.97377014,-105.14982605,1677.3000,0.2063,0.0000,1.3100
7294,1,1,10,39.97377014,-105.14982605,1674.4000,0.2063,0.0000,1.0600
8078,1,1,10,39.97375870,-105.14984131,1674.4000,0.1055,0.0000,1.0600
8246,1,1,10,39.97375870,-105.14984131,1673.6000,0.1055,0.0000,1.0600
9110,1,1,10,39.97374725,-105.14985657,1673.6000,0.0350,0.0000,1.0600
9288,1,1,10,39.97374725,-105.14985657,1672.2000,0.0350,0.0000,1.0600
10054,1,1,10,39.97373962,-105.14986420,1672.2000,0.0566,0.0000,1.0600
10201,1,1,10,39.97373962,-105.14986420,1671.8000,0.0566,0.0000,1.0600
11203,1,1,10,39.97373199,-105.14987183,1671.3000,0.0772,0.0000,1.0600
12081,1,1,10,39.97373199,-105.14987183,1671.3000,0.0422,0.0000,1.0600
12340,1,1,10,39.97373199,-105.14987183,1671.0000,0.0422,0.0000,1.0600
