tick_ms,temperature_c
6,28.3125
1011,28.3125
2003,28.2500
3014,28.3125
4008,28.3125
5021,28.3125
6017,28.3125
7004,28.3125
8034,28.2500
9020,28.3125
10011,28.3125
11027,28.2500
12033,28.3125
13022,28.3125
14006,28.3125
15020,28.3125
16025,28.3125
17003,28.3125
18007,28.3125
19064,28.3125
20011,28.3125
21043,28.3125
22045,28.3125
23021,28.3125
24044,28.3125
25029,28.3125
26017,28.3125
27006,28.3125
28012,28.3125
29024,28.3125
30013,28.3125
31035,28.3125
32033,28.3125
33018,28.2500
34003,28.3125
35046,28.3125
36031,28.2500
37011,28.3125
38037,28.2500
39037,28.3125
40014,28.3125
41022,28.3125
42029,28.3125
43030,28.3125
44014,28.3125
45011,28.2500
46028,28.2500
47031,28.3125
48003,28.2500
49026,28.3125
50058,28.3125
51028,28.3125
52011,28.3125
53030,28.3125
54021,28.3125
55004,28.3125
56010,28.3125
57021,28.3125
58006,28.3125
59004,28.3125
60007,28.3125
61019,28.3125
62008,28.3125
63012,28.3750
64012,28.3125
65017,28.3125
66009,28.3125
67020,28.3125
68017,28.3125
69009,28.3125
70025,28.3125
71024,28.3125
72003,28.3125
73040,28.3125
74005,28.3750
75018,28.3750
76045,28.3750
77029,28.3125
78006,28.3750
79028,28.3125
80028,28.3125
81030,28.3125
82026,28.3125
83005,28.3750
84028,28.3750
85025,28.3125
86009,28.3750
87030,28.3125
88030,28.3125
89028,28.3750
90043,28.3125
91037,28.3125
92022,28.3125
93021,28.3125
94032,28.3125
95030,28.3125
96007,28.3125
97014,28.3125
98026,28.3125
99027,28.3125
100011,28.3125
101003,28.3750
102022,28.3750
103019,28.3125
104012,28.3125
105027,28.3125
106010,28.3125
107050,28.3125
108026,28.3125
109043,28.3125
110016,28.3125
111007,28.3125
112031,28.3125
113021,28.3125
114005,28.2500
115004,28.3125
116033,28.3125
117026,28.3125
118017,28.2500
119046,28.2500
120015,28.3125
121011,28.3125
122012,28.2500
123011,28.2500
124026,28.2500
125008,28.2500
126049,28.3125
127045,28.3125
128013,28.2500
129029,28.2500
130024,28.3125
131016,28.3125
132011,28.2500
133028,28.2500
134022,28.3125
135010,28.3125
136032,28.3125
137026,28.2500
138023,28.3125
139036,28.3125
140044,28.3125
141025,28.3125
142003,28.3125
143041,28.3125
144018,28.3125
145020,28.3125
146010,28.3125
147041,28.3125
148005,28.3125
149011,28.3125
150044,28.3125
151032,28.2500
152015,28.2500
153004,28.3125
154030,28.3125
155010,28.3125
156008,28.3125
157006,28.2500
158017,28.2500
159004,28.2500
160037,28.3125
161018,28.3125
162014,28.2500
163019,28.3125
164004,28.3125
165015,28.3125
166015,28.3125
167005,28.3125
168088,28.3125
169011,28.3125
170010,28.3125
171015,28.3125
172042,28.3125
173013,28.3125
174056,28.3125
175020,28.3125
176024,28.3125
177010,28.3125
178025,28.3125
179028,28.3125
180017,28.3125
181005,28.3125
182035,28.3125
183030,28.3125
184013,28.3125
185032,28.3125
186022,28.3125
187025,28.3125
188007,28.3125
189020,28.3125
190037,28.3125
191016,28.3125
192037,28.3125
193031,28.3125
194010,28.3125
195004,28.3125
196026,28.3125
197025,28.3125
198007,28.3125
199014,28.3125
200016,28.3125
201011,28.3125
202010,28.3125
203033,28.3125
204023,28.3125
205011,28.3125
206032,28.3125
207017,28.2500
208035,28.3125
209012,28.3125
210039,28.3125
211022,28.3125
212018,28.3125
213004,28.3125
214030,28.3125
215023,28.3125
216010,28.3125
217005,28.3125
218016,28.3125
219019,28.3125
220034,28.3125
221038,28.3125
222017,28.3125
223021,28.3125
224029,28.3125
225026,28.3125
226015,28.3125
227016,28.3125
228034,28.3125
229018,28.3125
230015,28.3125
231030,28.3125
232022,28.3125
233009,28.2500
234039,28.3125
235023,28.3125
236020,28.3125
237015,28.2500
238020,28.2500
239030,28.2500
240015,28.2500
241029,28.2500
242024,28.2500
243023,28.2500
244017,28.2500
245020,28.2500
246077,28.2500
247034,28.2500
248018,28.2500
249010,28.2500
250033,28.2500
251019,28.2500
252009,28.2500
253035,28.2500
254021,28.2500
255005,28.2500
256016,28.2500
257035,28.2500
258020,28.2500
259012,28.2500
260031,28.2500
261033,28.2500
262011,28.2500
263016,28.2500
264008,28.2500
265025,28.2500
266009,28.2500
267013,28.2500
268031,28.2500
269019,28.2500
270009,28.2500
271014,28.2500
272011,28.2500
273024,28.2500
274029,28.2500
275003,28.2500
276044,28.2500
277022,28.2500
278023,28.2500
279029,28.1875
280031,28.2500
281008,28.1875
282023,28.1875
283008,28.1875
284024,28.2500
285014,28.2500
286037,28.2500
287014,28.1875
288013,28.1875
289015,28.1875
290032,28.2500
291035,28.1875
292014,28.1875
293007,28.1875
294007,28.1875
295020,28.1875
296031,28.1875
297034,28.1875
298038,28.1875
299032,28.1875
300011,28.1875
301056,28.1875
302027,28.1875
303019,28.1875
304004,28.1875
305008,28.2500
306010,28.1875
307038,28.1875
308018,28.1875
309006,28.1875
310032,28.1875
311014,28.1875
312023,28.2500
313015,28.2500
314043,28.2500
315032,28.1875
316016,28.1875
317005,28.1875
318060,28.1875
319018,28.1875
320003,28.1875
321031,28.1875
322018,28.1875
323017,28.1875
324015,28.1875
325009,28.1875
326029,28.1875
327011,28.1875
328017,28.1875
329007,28.1875
330018,28.1875
331003,28.1875
332030,28.1875
333008,28.1875
334011,28.1875
335012,28.1875
336006,28.1875
337027,28.1875
338013,28.1875
339006,28.1875
340004,28.1875
341023,28.1875
342006,28.1875
343032,28.1875
344027,28.1875
345032,28.1875
346012,28.1875
347007,28.1875
348028,28.1875
349029,28.1875
350015,28.1875
351032,28.1875
352025,28.1875
353012,28.1875
354006,28.1875
355027,28.1875
356022,28.1875
357030,28.1875
358037,28.1875
359024,28.1875
360034,28.1875
361016,28.1875
362005,28.1875
363012,28.1875
364026,28.1875
365024,28.1875
366030,28.1875
367031,28.1875
368019,28.1875
369043,28.1875
370036,28.1875
371043,28.1875
372017,28.1875
373004,28.1875
374008,28.1875
375020,28.1875
376006,28.1250
377010,28.1250
378014,28.1875
379019,28.1250
380054,28.1875
381033,28.1250
382011,28.1875
383009,28.1875
384031,28.1875
385027,28.1875
386009,28.1875
387007,28.1875
388024,28.1875
389016,28.1875
390010,28.1875
391032,28.1875
392031,28.1875
393011,28.1875
394009,28.1875
395025,28.1875
396026,28.1875
397010,28.1250
398004,28.1875
399036,28.1875
400016,28.1875
401003,28.1875
402033,28.1875
403030,28.1875
404009,28.1875
405045,28.1875
406025,28.1875
407012,28.1875
408003,28.1875
409019,28.1875
410044,28.1875
411028,28.1250
412021,28.1875
413048,28.1875
414037,28.1875
415008,28.1250
416033,28.1250
417021,28.1250
418020,28.1875
419003,28.1250
420037,28.1875
421016,28.1875
422014,28.1250
423032,28.1875
424028,28.1250
425020,28.1875
426015,28.1875
427053,28.1875
428069,28.1250
429019,28.1875
430020,28.1875
431015,28.1875
432038,28.1250
433017,28.1250
434004,28.1250
435036,28.1250
436053,28.1875
437047,28.1875
438028,28.1875
439012,28.1875
440022,28.1875
441032,28.1875
442032,28.1875
443009,28.1250
444035,28.1875
445007,28.1875
446018,28.1875
447011,28.1875
448040,28.1875
449025,28.1875
450008,28.1875
451003,28.1875
452033,28.1875
453030,28.1875
454027,28.1250
455006,28.1875
456011,28.1250
457003,28.1875
458014,28.1875
459039,28.1875
460034,28.1875
461013,28.1250
462003,28.1875
463030,28.1875
464027,28.1875
465010,28.1250
466014,28.1875
467004,28.1875
468040,28.1875
469012,28.1875
470048,28.1875
471041,28.1875
472024,28.1250
473029,28.1250
474028,28.1875
475038,28.1250
476022,28.1875
477061,28.1875
478032,28.1250
479017,28.1875
480003,28.1250
481033,28.0625
482041,28.1250
483034,28.1250
484016,28.1250
485026,28.0625
486042,28.0625
487007,28.1250
488025,28.1250
489021,28.1250
490040,28.1250
491032,28.0625
492020,28.0625
493040,28.0625
494020,28.0625
495010,28.0625
496040,28.0625
497038,28.1250
498025,28.0625
499053,28.0625
500026,28.0625
501014,28.0625
502016,28.0625
503031,28.0625
504028,28.0625
505011,28.0625
506041,28.0625
507023,28.0625
508023,28.0625
509021,28.0625
510035,28.0625
511015,28.1250
512006,28.0625
513014,28.0625
514046,28.0625
515034,28.0625
516011,28.0625
517040,28.0625
518020,28.1250
519017,28.0625
520034,28.1250
521031,28.1250
522013,28.1250
523007,28.1250
524034,28.0625
525026,28.0625
526036,28.0625
527003,28.1250
528045,28.1250
529025,28.1250
530016,28.1250
531039,28.1250
532031,28.1250
533027,28.1250
534008,28.1250
535044,28.1250
536035,28.1250
537015,28.1250
538024,28.1250
539029,28.1250
540035,28.1250
541031,28.1250
542043,28.1250
543025,28.1250
544026,28.1875
545011,28.1875
546025,28.1250
547014,28.1250
548010,28.1875
549038,28.1875
550021,28.1875
551013,28.1875
552005,28.1875
553035,28.1875
554025,28.1875
555014,28.1875
556012,28.1250
557033,28.1250
558037,28.1875
559007,28.1875
560042,28.1875
561076,28.1875
562029,28.1875
563011,28.1875
564037,28.1875
565014,28.1875
566015,28.1875
567011,28.1250
568024,28.1875
569021,28.1875
